| Day                            | Time                           | Campus                         | Building & Room                |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 2:00 PM - 3:20 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Tuesday                        | 2:00 PM - 3:20 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Monday                         | 10:20 AM - 11:40 AM            | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Monday                         | 12:10 PM - 1:30 PM             | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Monday                         | 2:00 PM - 3:20 PM              | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Tuesday                        | 2:00 PM - 3:20 PM              | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Tuesday                        | 3:50 PM - 5:10 PM              | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Tuesday                        | 5:40 PM - 7:00 PM              | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Wednesday                      | 8:30 AM - 9:50 AM              | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | BST-114A                       |
