Building/Room       Class Times              Professor Names               
HH-A1               10:20 AM - 11:40 AM      GRAY, CORNELL                 
HC-N104             12:10 PM - 1:30 PM       SHAHID                        
MU-212              12:10 PM - 1:30 PM       CIPRIANI                      
MU-115              3:50 PM - 5:10 PM        GORDON, RAHJAUN               
WL-231              3:50 PM - 5:10 PM        GORDON, RAHJAUN               
HCK-117             2:00 PM - 3:20 PM        JAMIL, HASHAAM                
AB-2100             2:00 PM - 3:20 PM        JONES, ANTHONY                
CHU-201             5:40 PM - 8:40 PM        KELLEY, JUSTIN                
ARC-206             12:10 PM - 3:10 PM       BEAUVOIR                      
AB-4225             10:20 AM - 1:20 PM       LAWSON JR.                    
ARC-205             3:50 PM - 5:10 PM        JAMIL, HASHAAM                
CCB-1203            12:10 PM - 1:30 PM       QUARTLBAUM                    
WD-DRAW             12:10 PM - 1:30 PM       CAULK, KEYWUAN                
HCK-112             3:50 PM - 5:10 PM        GRAY, CORNELL                 
ARC-110             2:00 PM - 3:20 PM        SHAHID                        
ARC-105             12:10 PM - 3:10 PM       QUARTLBAUM                    
HCK-126             3:50 PM - 5:10 PM        KEETON, CHARLES               
MU-207              2:00 PM - 3:20 PM        DAVIS, ADRIANNE               
TIL-105             3:50 PM - 6:50 PM        SANCHEZ GOMEZ                 
HC-S120             10:20 AM - 11:40 AM      CHANDRASHEKHAR                
CI-201              10:20 AM - 11:40 AM      KIM-LEE                       
RMH-209             3:50 PM - 5:10 PM        ACKERMAN                      
WD-DRAW             12:10 PM - 1:30 PM       SADOWSKY                      
AUT-104             10:20 AM - 11:40 AM      ANDRADE, KELLY                
RMH-209             10:20 AM - 11:40 AM      SYED, YUSRA                   
ED-025A             10:20 AM - 1:20 PM       TABANLI, SHEILA               
NIH-111             2:00 PM - 5:00 PM        YENIYURT                      
MUS-207             12:10 PM - 1:30 PM       BARTHELUS                     
SC-215              8:30 AM - 9:50 AM        GATTI                         
JDC-010             10:20 AM - 1:20 PM       LEE, SAMANTHA                 
JDC-010             12:10 PM - 1:30 PM       ZACK, JADE                    
SC-219              3:50 PM - 5:10 PM        LOOKMAN, AIMEE                
SEC-212             10:20 AM - 11:40 AM      PRADEEP                       
BE-011              10:20 AM - 11:40 AM      SIDDIQUI                      
ALX-049             10:20 AM - 11:40 AM      VADDIPARTI                    
HC-S124             10:20 AM - 1:20 PM       AHMED, MALIA                  
HC-S126             5:40 PM - 8:40 PM        SHROFF, MITALI                
HC-E128             10:20 AM - 11:40 AM      LEE, JOYCE                    
HC-S124             10:20 AM - 11:40 AM      CARDILE, OLIVIA               
HC-S126             3:50 PM - 5:10 PM        HOWLAND                       
HC-N106             5:40 PM - 7:00 PM        KAMALAKKANNAN                 
HC-S124             12:10 PM - 1:30 PM       MEHTA, PRIYA                  
HC-S126             2:00 PM - 3:20 PM        STOECKERT, LENA               
HC-E128             10:20 AM - 11:40 AM      BANSAL, KUSH                  
HC-S124             2:00 PM - 3:20 PM        PELLICANE                     
HC-S126             10:20 AM - 11:40 AM      LOCURTO                       
HC-N106             2:00 PM - 3:20 PM        FRIEDMAN                      
HC-S126             3:50 PM - 5:10 PM        LEE, LUNA                     
HC-S124             10:20 AM - 1:20 PM       FERRELL, LUKE                 
HC-S124             12:10 PM - 1:30 PM       SKIBICKI                      
HC-S124             10:20 AM - 11:40 AM      ABDELJABER                    
HC-E128             5:40 PM - 7:00 PM        ARELLANO                      
HC-N106             12:10 PM - 1:30 PM       LOCKBURNER                    
HC-S120             3:50 PM - 5:10 PM        ROBERTS, ANDREW               
HC-S124             2:00 PM - 5:00 PM        AMJAD, FAUZAN                 
HC-S126             5:40 PM - 7:00 PM        RUITER                        
AB-3100             5:40 PM - 7:00 PM        THAKKER, KAVIRA               
AB-2250             9:20 PM - 10:40 PM       XI, JAMES                     
MU-112              5:40 PM - 7:00 PM        TONRA, COLLEEN                
MU-113              7:30 PM - 8:50 PM        URINYI                        
SC-102              7:30 PM - 8:50 PM        MIKHAIL                       
AB-2100             5:40 PM - 7:00 PM        SINGH, SUKRITI                
AB-2200             7:30 PM - 8:50 PM        SRIVASTAVA                    
HH-B5               7:30 PM - 8:50 PM        KHALIFA, ABDUL                
HH-A7               5:40 PM - 7:00 PM        SEO, JUSTIN                   
SC-105              7:30 PM - 8:50 PM        SAMUEL, SEENA                 
SC-119              7:30 PM - 8:50 PM        LAWRENCE, LEO                 
SC-214              5:40 PM - 7:00 PM        BELLINGHAUSEN                 
