Class Name                                        Building/Room       Class Times              Professor Names               
LATINX ART                                        SEC-206             2:00 PM - 3:20 PM        PAVLIK, JOHN                  
01:082:277                                        LSH-A140            2:00 PM - 3:20 PM        SABINA, CHIARA; BANYARD       
ART AND MEDICINE                                  RMH-209             10:20 AM - 11:40 AM      SCHNETZER                     
01:082:312                                        RMH-002             10:20 AM - 11:40 AM      HOLLOWAY                      
BYZANTINE ART                                     SEC-220             2:00 PM - 3:20 PM        SHENDELL, DEREK               
01:082:332                                        NIH-112             2:00 PM - 3:20 PM        SHENDELL, DEREK               
AFRICAN AMERICAN ART                              RWH-102             2:00 PM - 3:20 PM        SHIELDS                       
01:082:341                                        NH-B417             2:00 PM - 3:20 PM        SPAETH, ANDREA                
VENICE                                            SEC-204             10:20 AM - 11:40 AM      YOUSEFIAN                     
01:082:351                                        HH-A1               3:50 PM - 5:10 PM        YU, LEI                       
ART IN THE UNITED STATES: 1776-1913               HC-N104             3:50 PM - 5:10 PM        HEUMANN, MILTON               
01:082:430                                        MU-212              3:50 PM - 5:10 PM        QUINCY, RONALD                
FOUNDATIONS IN CULTURAL HERITAGE AND    PRESERVATION ST..MU-115              3:50 PM - 5:10 PM        KULIKOWSKI                    
01:082:441                                        WL-231              3:50 PM - 5:10 PM        BOWERS, JEROME                
SPECIAL TOPICS IN POLITICS, HISTORY, AND HERITAGE HCK-117             3:50 PM - 5:10 PM        KASATKIN; TRUJILLO            
01:082:447                                        AB-2100             7:30 PM - 8:50 PM        GREENSPAN                     
INTERNSHP HIST PRESV                              CHU-201             7:30 PM - 8:50 PM        MATTO                         
01:082:491                                        ARC-206             7:30 PM - 8:50 PM        MANENTE; BAL, VANESSA         
CAPSTONE IN ART HISTORY                           AB-4225             7:30 PM - 8:50 PM        WANG; OCAMPO, LOUIE           
01:082:493                                        ARC-205             5:40 PM - 7:00 PM        MCCROSSIN                     
INDIVIDUAL STUDIES IN ART HISTORY                 CCB-1203            5:40 PM - 7:00 PM        EVANS, JOHN                   
